stage,machine,co2_kg,end,hours,kwh,start,state
Cutting,Cutting_Machine1,0.017500000000003978,130.5021152688792,0.5000000000001137,0.025000000000005684,130.0021152688791,calendar_off
Cutting,Cutting_Machine1,0.017500000000003978,130.50241361788335,0.5000000000001137,0.025000000000005684,130.00241361788324,calendar_off
Cutting,Cutting_Machine1,0.017500000000003978,130.5026041666638,0.5000000000001137,0.025000000000005684,130.00260416666367,calendar_off
Cutting,Cutting_Machine1,0.017500000000003978,130.50338541666372,0.5000000000001137,0.025000000000005684,130.0033854166636,calendar_off
Cutting,Cutting_Machine1,1.8261404724775956,131.56701751947756,0.6521930258848556,2.6087721035394225,130.9148244935927,idle
Cutting,Cutting_Machine1,0.36696435688233464,131.61944099903218,0.052423479554619234,0.5242347955461923,131.56701751947756,setup
Cutting,Cutting_Machine1,1.0331536958997731,131.98842446185353,0.36898346282134753,1.4759338512853901,131.61944099903218,idle
Cutting,Cutting_Machine1,0.024308630100850336,131.9999999999968,0.011575538143262065,0.034726614429786196,131.98842446185353,waiting_worker
Cutting,Cutting_Machine1,13.713774054074122,133.30607371943242,1.3060737194356307,19.59110579153446,131.9999999999968,running
Cutting,Cutting_Machine1,0.5493474827936665,133.50226924900159,0.19619552956916664,0.7847821182766666,133.30607371943242,idle
Cutting,Cutting_Machine1,11.381900921531212,135.12825509493462,1.6259858459330303,16.259858459330303,133.50226924900159,setup
Cutting,Cutting_Machine1,0.6440176453137268,135.35826139683238,0.2300063018977596,0.9200252075910385,135.12825509493462,idle
Cutting,Cutting_Machine1,0.08765106664486097,135.3999999999966,0.04173860316421951,0.12521580949265854,135.35826139683238,waiting_worker
Cutting,Cutting_Machine1,2.5040388624906456,135.63847989166237,0.23847989166577577,3.5771983749866365,135.3999999999966,running
Cutting,Cutting_Machine1,0.12919222750183507,135.69999999999658,0.06152010833420718,0.18456032500262154,135.63847989166237,waiting_worker
Cutting,Cutting_Machine1,2.883498709219964,135.9746189246842,0.2746189246876156,4.119283870314234,135.69999999999658,running
Cutting,Cutting_Machine1,2.196468787328598,136.28840018001685,0.3137812553326569,3.137812553326569,135.9746189246842,setup
Cutting,Cutting_Machine1,0.024359621957356123,136.29999999999654,0.011599819979693393,0.03479945993908018,136.28840018001685,waiting_worker
Cutting,Cutting_Machine1,0.8631918072420035,136.3822087435434,0.08220874354685748,1.2331311532028622,136.29999999999654,running
Cutting,Cutting_Machine1,0.03736163855158736,136.39999999999654,0.01779125645313684,0.05337376935941052,136.3822087435434,waiting_worker
Cutting,Cutting_Machine1,3.148317171455318,136.69983973061133,0.2998397306147922,4.497595959221883,136.39999999999654,running
Cutting,Cutting_Machine1,0.6455437923550335,136.93039108502384,0.23055135441251196,0.9222054176500478,136.69983973061133,idle
Cutting,Cutting_Machine1,0.14617872144258967,136.9999999999965,0.06960891497266175,0.20882674491798525,136.93039108502384,waiting_worker
Cutting,Cutting_Machine1,4.102951741028775,137.3907573086659,0.39075730866940717,5.8613596300411075,136.9999999999965,running
Cutting,Cutting_Machine1,0.0194096517941972,137.39999999999648,0.009242691330570096,0.02772807399171029,137.3907573086659,waiting_worker
Cutting,Cutting_Machine1,0.06296397036825852,137.40899485290623,0.008994852909751216,0.08994852909751216,137.39999999999648,setup
Cutting,Cutting_Machine1,1.261268262343492,137.8594478037432,0.45045295083696146,1.8018118033478459,137.40899485290623,idle
Cutting,Cutting_Machine1,0.08515961213184368,137.89999999999645,0.0405521962532589,0.1216565887597767,137.8594478037432,waiting_worker
Cutting,Cutting_Machine1,5.020568831709653,138.61722411881212,0.7172241188156647,7.172241188156647,137.89999999999645,setup
Cutting,Cutting_Machine1,0.017500000000003978,138.50104166666335,0.5000000000001137,0.025000000000005684,138.00104166666324,calendar_off
Cutting,Cutting_Machine1,0.017500000000003978,138.50182291666323,0.5000000000001137,0.025000000000005684,138.00182291666312,calendar_off
Cutting,Cutting_Machine1,0.017500000000003978,138.50182291666326,0.5000000000001137,0.025000000000005684,138.00182291666314,calendar_off
Cutting,Cutting_Machine1,0.017500000000003978,138.50182291666331,0.5000000000001137,0.025000000000005684,138.0018229166632,calendar_off
Cutting,Cutting_Machine1,0.017500000000003978,138.50302061135866,0.5000000000001137,0.025000000000005684,138.00302061135855,calendar_off
Cutting,Cutting_Machine1,0.017500000000003978,138.50338541666332,0.5000000000001137,0.025000000000005684,138.0033854166632,calendar_off
Cutting,Cutting_Machine1,0.017500000000003978,138.50416666666328,0.5000000000001137,0.025000000000005684,138.00416666666317,calendar_off
Cutting,Cutting_Machine1,7.267129409386313,139.65538546301016,1.0381613441980448,10.381613441980448,138.61722411881212,setup
Cutting,Cutting_Machine1,0.09369052767099503,139.69999999999635,0.044614536986188114,0.13384361095856434,139.65538546301016,waiting_worker
Cutting,Cutting_Machine1,1.9571874599085815,139.88639880570193,0.1863988057055792,2.795982085583688,139.69999999999635,running
Cutting,Cutting_Machine1,0.013282660087543263,139.89114261287605,0.004743807174122594,0.018975228696490376,139.88639880570193,idle
Cutting,Cutting_Machine1,0.6764171900936446,139.95556329764688,0.0644206847708233,0.9663102715623495,139.89114261287605,running
Cutting,Cutting_Machine1,0.9462402084008089,140.09074047027556,0.135177172628687,1.35177172628687,139.95556329764688,setup
Cutting,Cutting_Machine1,0.18161643211260525,140.1080372733339,0.017296803058343357,0.25945204587515036,140.09074047027556,running
Cutting,Cutting_Machine1,0.19312172599107383,140.19999999999632,0.09196272666241612,0.27588817998724835,140.1080372733339,waiting_worker
Cutting,Cutting_Machine1,3.9945318060790664,140.58043160057528,0.38043160057895875,5.706474008684381,140.19999999999632,running
Cutting,Cutting_Machine1,2.4549586792498985,140.93113998332527,0.3507083827499855,3.507083827499855,140.58043160057528,setup
Cutting,Cutting_Machine1,0.14460603500912156,140.99999999999628,0.06886001667101027,0.2065800500130308,140.93113998332527,waiting_worker
Cutting,Cutting_Machine1,3.8454055512048337,141.5493436501684,0.5493436501721192,5.493436501721192,140.99999999999628,setup
Cutting,Cutting_Machine1,0.10637833463847812,141.59999999999624,0.050656349827846725,0.15196904948354018,141.5493436501684,waiting_worker
Cutting,Cutting_Machine1,0.5441996837674026,141.67774281196301,0.0777428119667718,0.777428119667718,141.59999999999624,setup
Cutting,Cutting_Machine1,91.58087992351477,174.385199927504,32.70745711554099,130.82982846216396,141.67774281196301,idle
Cutting,Cutting_Machine1,1.1200000000002546,174.00052083333722,32.000000000007276,1.6000000000003638,142.00052083332994,calendar_off
Cutting,Cutting_Machine1,1.1200000000002546,174.00077802955,32.000000000007276,1.6000000000003638,142.00077802954272,calendar_off
Cutting,Cutting_Machine1,1.1200000000002546,174.00104166667026,32.000000000007276,1.6000000000003638,142.00104166666299,calendar_off
Cutting,Cutting_Machine1,1.1200000000002546,174.00104166667026,32.000000000007276,1.6000000000003638,142.00104166666299,calendar_off
Cutting,Cutting_Machine1,1.1200000000002546,174.0010416666703,32.000000000007276,1.6000000000003638,142.001041666663,calendar_off
Cutting,Cutting_Machine1,1.1200000000002546,174.0011571369495,32.000000000007276,1.6000000000003638,142.00115713694223,calendar_off
Cutting,Cutting_Machine1,1.1200000000002546,174.0019728911631,32.000000000007276,1.6000000000003638,142.00197289115582,calendar_off
