event_id,event_type,sim_time,timestamp,order_id,item_id,job_id,product,stage,cycle_time,extra,machine_name
1799,material_wait_end,185.69999999999374,1760938616.7602618,,,Job_Ord-00091_1,,Routing,,,
1800,stage_queued,185.69999999999374,1760938616.7615051,,,Job_Ord-00091_1,,Routing,,,Routing_Machine1
1801,stage_exit,185.80379692451243,1760938616.7627766,,,Job_Ord-00083_1,ProductB,Painting,,{'stage_flow_time': 7.103796924518292},Painting_Machine1
1802,worker_released,185.80379692451243,1760938616.7627766,,,Job_Ord-00083_1,,Painting,,{'worker_id': 'W001'},
1803,job_completed,185.80379692451243,1760938616.7627766,Ord-00083,Ord-00083_item_1,Job_Ord-00083_1,ProductB,,53.979459311869675,,
1804,job_started,185.80379692451243,1760938616.7627766,Ord-00100,Ord-00100_item_1,Job_Ord-00100_1,ProductA,,,,
1805,worker_wait_start,185.80379692451243,1760938616.7627766,,,Job_Ord-00100_1,,Cutting,,,
1806,stage_exit,185.81460262525798,1760938616.7640789,,,Job_Ord-00088_1,ProductA,Routing,,{'stage_flow_time': 6.9146026252638535},Routing_Machine1
1807,worker_released,185.81460262525798,1760938616.7640789,,,Job_Ord-00088_1,,Routing,,{'worker_id': 'W003'},
1808,worker_wait_start,185.81460262525798,1760938616.7640789,,,Job_Ord-00088_1,,Painting,,,
1809,worker_wait_end,185.89999999999372,1760938616.7640789,,,Job_Ord-00100_1,,Cutting,,{'worker_id': 'W016'},
1810,material_wait_end,185.89999999999372,1760938616.7640789,,,Job_Ord-00100_1,,Cutting,,,
1811,stage_queued,185.89999999999372,1760938616.765292,,,Job_Ord-00100_1,,Cutting,,,Cutting_Machine1
1812,worker_wait_end,185.89999999999372,1760938616.765292,,,Job_Ord-00088_1,,Painting,,{'worker_id': 'W016'},
1813,material_wait_end,185.89999999999372,1760938616.765292,,,Job_Ord-00088_1,,Painting,,,
1814,stage_queued,185.89999999999372,1760938616.765292,,,Job_Ord-00088_1,,Painting,,,Painting_Machine1
1815,stage_exit,186.59180948945107,1760938616.778491,,,Job_Ord-00095_1,ProductB,Routing,,{'stage_flow_time': 9.291809489456853},Routing_Machine1
1816,worker_released,186.59180948945107,1760938616.778491,,,Job_Ord-00095_1,,Routing,,{'worker_id': 'W007'},
1817,worker_wait_start,186.59180948945107,1760938616.778491,,,Job_Ord-00095_1,,Cutting,,,
1818,worker_wait_end,186.59999999999368,1760938616.778491,,,Job_Ord-00095_1,,Cutting,,{'worker_id': 'W001'},
1819,material_wait_end,186.59999999999368,1760938616.778491,,,Job_Ord-00095_1,,Cutting,,,
1820,stage_queued,186.59999999999368,1760938616.7789001,,,Job_Ord-00095_1,,Cutting,,,Cutting_Machine1
1821,stage_exit,186.90689709473776,1760938616.7800937,,,Job_Ord-00093_1,ProductA,Cutting,,{'stage_flow_time': 10.20689709474351},Cutting_Machine1
1822,worker_released,186.90689709473776,1760938616.7800937,,,Job_Ord-00093_1,,Cutting,,{'worker_id': 'W015'},
1823,worker_wait_start,186.90689709473776,1760938616.7800937,,,Job_Ord-00093_1,,Routing,,,
1824,stage_exit,186.94760974211718,1760938616.7813475,,,Job_Ord-00097_1,ProductA,Cutting,,{'stage_flow_time': 7.447609742123092},Cutting_Machine1
1825,worker_released,186.94760974211718,1760938616.7813475,,,Job_Ord-00097_1,,Cutting,,{'worker_id': 'W013'},
1826,worker_wait_start,186.94760974211718,1760938616.7813475,,,Job_Ord-00097_1,,Routing,,,
1827,worker_wait_end,186.99999999999366,1760938616.7813475,,,Job_Ord-00093_1,,Routing,,{'worker_id': 'W007'},
1828,material_wait_end,186.99999999999366,1760938616.7813475,,,Job_Ord-00093_1,,Routing,,,
1829,stage_queued,186.99999999999366,1760938616.7813475,,,Job_Ord-00093_1,,Routing,,,Routing_Machine1
1830,worker_wait_end,186.99999999999366,1760938616.7813475,,,Job_Ord-00097_1,,Routing,,{'worker_id': 'W007'},
1831,material_wait_end,186.99999999999366,1760938616.7813475,,,Job_Ord-00097_1,,Routing,,,
1832,stage_queued,186.99999999999366,1760938616.7813475,,,Job_Ord-00097_1,,Routing,,,Routing_Machine1
1833,stage_exit,187.64363847292134,1760938616.7893674,,,Job_Ord-00087_1,ProductA,Routing,,{'stage_flow_time': 8.443638472927233},Routing_Machine1
1834,worker_released,187.64363847292134,1760938616.7895756,,,Job_Ord-00087_1,,Routing,,{'worker_id': 'W011'},
1835,worker_wait_start,187.64363847292134,1760938616.7895756,,,Job_Ord-00087_1,,Painting,,,
1836,worker_wait_end,187.69999999999362,1760938616.7895756,,,Job_Ord-00087_1,,Painting,,{'worker_id': 'W010'},
1837,material_wait_end,187.69999999999362,1760938616.7895756,,,Job_Ord-00087_1,,Painting,,,
1838,stage_queued,187.69999999999362,1760938616.7895756,,,Job_Ord-00087_1,,Painting,,,Painting_Machine1
1839,stage_exit,187.84520939486677,1760938616.792286,,,Job_Ord-00080_1,ProductA,Painting,,{'stage_flow_time': 11.245209394872518},Painting_Machine1
1840,worker_released,187.84520939486677,1760938616.792286,,,Job_Ord-00080_1,,Painting,,{'worker_id': 'W009'},
1841,job_completed,187.84520939486677,1760938616.792999,Ord-00080,Ord-00080_item_1,Job_Ord-00080_1,ProductA,,71.73884467325985,,
1842,job_started,187.84520939486677,1760938616.7933886,Ord-00101,Ord-00101_item_1,Job_Ord-00101_1,ProductA,,,,
1843,worker_wait_start,187.84520939486677,1760938616.7933886,,,Job_Ord-00101_1,,Cutting,,,
1844,stage_exit,187.8581038252893,1760938616.7933886,,,Job_Ord-00092_1,ProductB,Routing,,{'stage_flow_time': 11.158103825295058},Routing_Machine1
1845,worker_released,187.8581038252893,1760938616.7933886,,,Job_Ord-00092_1,,Routing,,{'worker_id': 'W015'},
1846,worker_wait_start,187.8581038252893,1760938616.7933886,,,Job_Ord-00092_1,,Cutting,,,
1847,worker_wait_end,187.8999999999936,1760938616.7933886,,,Job_Ord-00101_1,,Cutting,,{'worker_id': 'W011'},
1848,material_wait_end,187.8999999999936,1760938616.7933886,,,Job_Ord-00101_1,,Cutting,,,
1849,stage_queued,187.8999999999936,1760938616.7933886,,,Job_Ord-00101_1,,Cutting,,,Cutting_Machine1
1850,worker_wait_end,187.8999999999936,1760938616.7933886,,,Job_Ord-00092_1,,Cutting,,{'worker_id': 'W011'},
1851,material_wait_end,187.8999999999936,1760938616.7933886,,,Job_Ord-00092_1,,Cutting,,,
1852,stage_queued,187.8999999999936,1760938616.7933886,,,Job_Ord-00092_1,,Cutting,,,Cutting_Machine1
1853,stage_exit,188.3218556859991,1760938616.7997284,,,Job_Ord-00082_1,ProductB,Painting,,{'stage_flow_time': 8.421855686005046},Painting_Machine1
1854,worker_released,188.3218556859991,1760938616.800569,,,Job_Ord-00082_1,,Painting,,{'worker_id': 'W008'},
1855,job_completed,188.3218556859991,1760938616.8013225,Ord-00082,Ord-00082_item_1,Job_Ord-00082_1,ProductB,,56.55961878639653,,
1856,job_started,188.3218556859991,1760938616.8013225,Ord-00102,Ord-00102_item_1,Job_Ord-00102_1,ProductA,,,,
1857,worker_wait_start,188.3218556859991,1760938616.8013225,,,Job_Ord-00102_1,,Cutting,,,
1858,stage_exit,188.39815218230123,1760938616.8025653,,,Job_Ord-00085_1,ProductB,Painting,,{'stage_flow_time': 9.29815218230712},Painting_Machine1
