stage,machine,co2_kg,end,hours,kwh,start,state
Cutting,Cutting_Machine1,17.90310956773597,21.331702556119403,6.393967702762847,25.575870811051388,14.937734853356556,idle
Cutting,Cutting_Machine1,0.1434246321493255,21.400000000000034,0.06829744388063119,0.20489233164189358,21.331702556119403,waiting_worker
Cutting,Cutting_Machine1,2.022482890148673,21.68892612716413,0.28892612716409616,2.8892612716409616,21.400000000000034,setup
Cutting,Cutting_Machine1,0.02325513295540702,21.70000000000004,0.011073872835908105,0.033221618507724315,21.68892612716413,waiting_worker
Cutting,Cutting_Machine1,68.98982035928219,31.555688622754637,9.855688622754599,98.55688622754599,21.70000000000004,setup
Cutting,Cutting_Machine1,0.28000000000000397,30.00104166666682,8.000000000000114,0.4000000000000057,22.001041666666705,calendar_off
Cutting,Cutting_Machine1,0.28000000000000397,30.001822916666814,8.000000000000114,0.4000000000000057,22.0018229166667,calendar_off
Cutting,Cutting_Machine1,21.564367098014234,33.609437870184564,2.053749247429927,30.806238711448906,31.555688622754637,running
Cutting,Cutting_Machine1,0.19018047261285387,33.70000000000021,0.09056212981564471,0.27168638944693413,33.609437870184564,waiting_worker
Cutting,Cutting_Machine1,9.500927276433497,34.6048502168034,0.9048502168031902,13.572753252047853,33.70000000000021,running
Cutting,Cutting_Machine1,0.017499999999999002,34.50104166666685,0.4999999999999716,0.02499999999999858,34.00104166666688,calendar_off
Cutting,Cutting_Machine1,0.017499999999999002,34.50126153942128,0.4999999999999716,0.02499999999999858,34.00126153942131,calendar_off
Cutting,Cutting_Machine1,0.017499999999999002,34.50330981182808,0.4999999999999716,0.02499999999999858,34.00330981182811,calendar_off
Cutting,Cutting_Machine1,0.19981454471333038,34.70000000000022,0.09514978319682399,0.28544934959047197,34.6048502168034,waiting_worker
Cutting,Cutting_Machine1,1.389678136258798,34.83235029869154,0.1323502986913141,1.9852544803697114,34.70000000000022,running
Cutting,Cutting_Machine1,0.14206437274824635,34.900000000000226,0.06764970130868875,0.20294910392606624,34.83235029869154,waiting_worker
Cutting,Cutting_Machine1,2.068627802882183,35.09701217170329,0.19701217170306506,2.955182575545976,34.900000000000226,running
Cutting,Cutting_Machine1,0.006274439423569333,35.10000000000023,0.002987828296937778,0.008963484890813334,35.09701217170329,waiting_worker
Cutting,Cutting_Machine1,3.3745579230315492,35.421386468860376,0.32138646886014755,4.820797032902213,35.10000000000023,running
Cutting,Cutting_Machine1,0.1650884153937021,35.500000000000234,0.07861353113985814,0.23584059341957442,35.421386468860376,waiting_worker
Cutting,Cutting_Machine1,4.084155389312887,35.888967179934795,0.38896717993456065,5.83450769901841,35.500000000000234,running
Cutting,Cutting_Machine1,0.023168922137434576,35.90000000000024,0.011032820065445037,0.03309846019633511,35.888967179934795,waiting_worker
Cutting,Cutting_Machine1,0.6206796469212073,35.95911234732607,0.05911234732582926,0.8866852098874389,35.90000000000024,running
