sim_time,co2_kg,hours,km,kwh,mode
39.16226937952295,0.02144,0.1,0.1,0.0776,forklift
40.64673200630889,0.02144,0.1,0.1,0.0776,forklift
40.69948127465169,0.02144,0.1,0.1,0.0776,forklift
40.7385567044035,0.02144,0.1,0.1,0.0776,forklift
40.89163238616386,0.02144,0.1,0.1,0.0776,forklift
41.11497041887538,0.02144,0.1,0.1,0.0776,forklift
41.2046137737425,0.02144,0.1,0.1,0.0776,forklift
42.83484058958699,0.02144,0.1,0.1,0.0776,forklift
43.23561285648401,0.02144,0.1,0.1,0.0776,forklift
43.6373898282335,0.02144,0.1,0.1,0.0776,forklift
44.857081837843566,0.02144,0.1,0.1,0.0776,forklift
45.008135071769004,0.02144,0.1,0.1,0.0776,forklift
45.5196457766908,0.02144,0.1,0.1,0.0776,forklift
45.72735022490008,0.02144,0.1,0.1,0.0776,forklift
54.08631575008476,0.02144,0.1,0.1,0.0776,forklift
54.4759748680985,0.02144,0.1,0.1,0.0776,forklift
54.58125935934222,0.02144,0.1,0.1,0.0776,forklift
54.59564027686642,0.02144,0.1,0.1,0.0776,forklift
54.84640998927585,0.02144,0.1,0.1,0.0776,forklift
55.38100584638633,0.02144,0.1,0.1,0.0776,forklift
55.81404448611244,0.02144,0.1,0.1,0.0776,forklift
56.10882053448727,0.02144,0.1,0.1,0.0776,forklift
56.70707379679773,0.02144,0.1,0.1,0.0776,forklift
57.04093498293125,0.02144,0.1,0.1,0.0776,forklift
57.52930070944522,0.02144,0.1,0.1,0.0776,forklift
57.68164290305324,0.02144,0.1,0.1,0.0776,forklift
58.5651936810674,0.02144,0.1,0.1,0.0776,forklift
58.684705545827974,0.02144,0.1,0.1,0.0776,forklift
59.00363362256409,0.02144,0.1,0.1,0.0776,forklift
59.263809066691415,0.02144,0.1,0.1,0.0776,forklift
59.35193630162394,0.02144,0.1,0.1,0.0776,forklift
61.28109239087278,0.02144,0.1,0.1,0.0776,forklift
61.4457119293485,0.02144,0.1,0.1,0.0776,forklift
62.02875654577842,0.02144,0.1,0.1,0.0776,forklift
62.50782485232329,0.02144,0.1,0.1,0.0776,forklift
62.86022165997082,0.02144,0.1,0.1,0.0776,forklift
62.91340252367583,0.02144,0.1,0.1,0.0776,forklift
63.634358808904395,0.02144,0.1,0.1,0.0776,forklift
63.64810307879495,0.02144,0.1,0.1,0.0776,forklift
64.55590511507994,0.02144,0.1,0.1,0.0776,forklift
65.07793494609426,0.02144,0.1,0.1,0.0776,forklift
66.64083497279242,0.02144,0.1,0.1,0.0776,forklift
66.64953454705521,0.02144,0.1,0.1,0.0776,forklift
66.6996606395469,0.02144,0.1,0.1,0.0776,forklift
67.03395175570184,0.02144,0.1,0.1,0.0776,forklift
67.04716312515994,0.02144,0.1,0.1,0.0776,forklift
67.12354096311243,0.02144,0.1,0.1,0.0776,forklift
67.30289632111904,0.02144,0.1,0.1,0.0776,forklift
67.48594336766891,0.02144,0.1,0.1,0.0776,forklift
67.70700228616992,0.02144,0.1,0.1,0.0776,forklift
69.29036683553939,0.02144,0.1,0.1,0.0776,forklift
69.96850222309207,0.02144,0.1,0.1,0.0776,forklift
78.4082145933093,0.02144,0.1,0.1,0.0776,forklift
79.87951945830031,0.02144,0.1,0.1,0.0776,forklift
80.11067654468862,0.02144,0.1,0.1,0.0776,forklift
80.27684307277102,0.02144,0.1,0.1,0.0776,forklift
80.53866494571878,0.02144,0.1,0.1,0.0776,forklift
80.59442305210456,0.02144,0.1,0.1,0.0776,forklift
80.98268929376562,0.02144,0.1,0.1,0.0776,forklift
81.21196611042404,0.02144,0.1,0.1,0.0776,forklift
81.28047896995264,0.02144,0.1,0.1,0.0776,forklift
81.33089224147824,0.02144,0.1,0.1,0.0776,forklift
81.68590173902544,0.02144,0.1,0.1,0.0776,forklift
81.88896944723749,0.02144,0.1,0.1,0.0776,forklift
82.59661075635532,0.02144,0.1,0.1,0.0776,forklift
82.69407751718347,0.02144,0.1,0.1,0.0776,forklift
83.26971737503739,0.02144,0.1,0.1,0.0776,forklift
83.44166711287674,0.02144,0.1,0.1,0.0776,forklift
83.68737290292628,0.02144,0.1,0.1,0.0776,forklift
84.04939547243053,0.02144,0.1,0.1,0.0776,forklift
84.22110285043384,0.02144,0.1,0.1,0.0776,forklift
84.74628088250726,0.02144,0.1,0.1,0.0776,forklift
84.91119838197493,0.02144,0.1,0.1,0.0776,forklift
86.10096316777923,0.02144,0.1,0.1,0.0776,forklift
86.32686305395922,0.02144,0.1,0.1,0.0776,forklift
86.38743285323632,0.02144,0.1,0.1,0.0776,forklift
86.75322255261673,0.02144,0.1,0.1,0.0776,forklift
87.46291597282156,0.02144,0.1,0.1,0.0776,forklift
89.77140873411517,0.02144,0.1,0.1,0.0776,forklift
90.51798966396,0.02144,0.1,0.1,0.0776,forklift
90.89201268267877,0.02144,0.1,0.1,0.0776,forklift
90.9520776528186,0.02144,0.1,0.1,0.0776,forklift
91.39963176042339,0.02144,0.1,0.1,0.0776,forklift
91.74116320863564,0.02144,0.1,0.1,0.0776,forklift
91.7830135989644,0.02144,0.1,0.1,0.0776,forklift
91.79747233662607,0.02144,0.1,0.1,0.0776,forklift
91.96544342991174,0.02144,0.1,0.1,0.0776,forklift
92.24869344251061,0.02144,0.1,0.1,0.0776,forklift
92.32408050101601,0.02144,0.1,0.1,0.0776,forklift
92.62095805450905,0.02144,0.1,0.1,0.0776,forklift
92.82282770103164,0.02144,0.1,0.1,0.0776,forklift
93.03397364719407,0.02144,0.1,0.1,0.0776,forklift
93.435584779233,0.02144,0.1,0.1,0.0776,forklift
93.91065589643199,0.02144,0.1,0.1,0.0776,forklift
102.89007656151084,0.02144,0.1,0.1,0.0776,forklift
103.36681600350279,0.02144,0.1,0.1,0.0776,forklift
103.66765206788456,0.02144,0.1,0.1,0.0776,forklift
104.21536219569725,0.02144,0.1,0.1,0.0776,forklift
104.49298089616575,0.02144,0.1,0.1,0.0776,forklift
106.76614002333339,0.02144,0.1,0.1,0.0776,forklift
106.81311412710146,0.02144,0.1,0.1,0.0776,forklift
108.86421631398379,0.02144,0.1,0.1,0.0776,forklift
108.99424771691774,0.02144,0.1,0.1,0.0776,forklift
109.07141911469334,0.02144,0.1,0.1,0.0776,forklift
109.28142531277926,0.02144,0.1,0.1,0.0776,forklift
109.49292721296702,0.02144,0.1,0.1,0.0776,forklift
109.50679475816544,0.02144,0.1,0.1,0.0776,forklift
109.579775176761,0.02144,0.1,0.1,0.0776,forklift
109.70138244743987,0.02144,0.1,0.1,0.0776,forklift
110.04293644318345,0.02144,0.1,0.1,0.0776,forklift
110.29034200608194,0.02144,0.1,0.1,0.0776,forklift
111.24512294870604,0.02144,0.1,0.1,0.0776,forklift
111.35677409633877,0.02144,0.1,0.1,0.0776,forklift
111.41784107989685,0.02144,0.1,0.1,0.0776,forklift
111.47619277515297,0.02144,0.1,0.1,0.0776,forklift
111.75183039299075,0.02144,0.1,0.1,0.0776,forklift
112.17296662310956,0.02144,0.1,0.1,0.0776,forklift
112.4474088204859,0.02144,0.1,0.1,0.0776,forklift
112.71684980782138,0.02144,0.1,0.1,0.0776,forklift
112.76805560266862,0.02144,0.1,0.1,0.0776,forklift
113.18343583919028,0.02144,0.1,0.1,0.0776,forklift
114.58924375522336,0.02144,0.1,0.1,0.0776,forklift
115.38107403543256,0.02144,0.1,0.1,0.0776,forklift
116.02231059187153,0.02144,0.1,0.1,0.0776,forklift
116.35629963465765,0.02144,0.1,0.1,0.0776,forklift
116.62406551892178,0.02144,0.1,0.1,0.0776,forklift
117.15815837486436,0.02144,0.1,0.1,0.0776,forklift
117.41708998039338,0.02144,0.1,0.1,0.0776,forklift
126.10291572543633,0.02144,0.1,0.1,0.0776,forklift
126.88531132511936,0.02144,0.1,0.1,0.0776,forklift
127.48698640646373,0.02144,0.1,0.1,0.0776,forklift
127.66105888206323,0.02144,0.1,0.1,0.0776,forklift
128.14679942191864,0.02144,0.1,0.1,0.0776,forklift
128.23267338348703,0.02144,0.1,0.1,0.0776,forklift
128.57499284053108,0.02144,0.1,0.1,0.0776,forklift
129.06725293189268,0.02144,0.1,0.1,0.0776,forklift
129.11568990451048,0.02144,0.1,0.1,0.0776,forklift
